[Tipo],[Moeda],[Empresa],[Vertical],[Stream],Agrupador,Periodo,Ano,[Valor]
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Gross revenue,2025-06,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Gross revenue,2025-07,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Gross revenue,2025-08,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Gross revenue,2025-09,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Gross revenue,2025-10,2025,235346.64
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Gross revenue,2025-11,2025,38432.64
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Gross revenue,2025-12,2025,25889.64
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Payroll costs,2025-08,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Payroll costs,2025-09,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Payroll costs,2025-10,2025,-35081.44
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Payroll costs,2025-11,2025,-34582.58
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Third-party costs,2025-03,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Third-party costs,2025-04,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Third-party costs,2025-05,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Third-party costs,2025-06,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Third-party costs,2025-07,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Third-party costs,2025-08,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Third-party costs,2025-09,2025,0.0
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Third-party costs,2025-10,2025,-22620.56
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Third-party costs,2025-11,2025,-21404.08
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),Third-party costs,2025-12,2025,-5088.72
Actual,BRL,Dojo,Multisector,Data & AI (Dojo),,2025-07,2025,0.0
Actual,BRL,Dojo,Multisector,NextGen Services,,2025-07,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Commission expenses,2025-01,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Commission expenses,2025-02,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Commission expenses,2025-03,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Commission expenses,2025-04,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Commission expenses,2025-05,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Commission expenses,2025-06,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Commission expenses,2025-07,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Commission expenses,2025-08,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Commission expenses,2025-09,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Commission expenses,2025-10,2025,-29166.667
Actual,BRL,Dojo,Others,Data & AI (Dojo),Commission expenses,2025-11,2025,-29166.667
Actual,BRL,Dojo,Others,Data & AI (Dojo),Commission expenses,2025-12,2025,-29166.667
Actual,BRL,Dojo,Others,Data & AI (Dojo),Consulting expenses,2024-01,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Consulting expenses,2024-02,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Consulting expenses,2024-03,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Consulting expenses,2024-04,2024,0.0
