empresa,agrupador_fpa,FiscalYear,FiscalPeriod,AmountInCompanyCodeCurrency
Hyper,Travel expenses,2025,8,20126.12
Hyper,Travel expenses,2025,9,5392.9
Hyper,Travel expenses,2025,10,16647.31
Hyper,Travel expenses,2025,11,41319.43
Hyper,Travel expenses,2025,12,11407.14
Nação Digital,Commission expenses,2025,9,669.45
Nação Digital,Commission expenses,2025,10,1385.93
Nação Digital,Commission expenses,2025,12,9211.21
Nação Digital,Consulting expenses,2025,7,5996.03
Nação Digital,Consulting expenses,2025,8,93183.79000000001
Nação Digital,Consulting expenses,2025,9,41893.76
Nação Digital,Consulting expenses,2025,10,29778.34
Nação Digital,Consulting expenses,2025,11,12481.2
Nação Digital,Consulting expenses,2025,12,5777.3
Nação Digital,Depreciation and amortization,2025,7,26177.0
Nação Digital,Depreciation and amortization,2025,8,29079.0
Nação Digital,Depreciation and amortization,2025,9,29102.0
Nação Digital,Depreciation and amortization,2025,10,29045.0
Nação Digital,Depreciation and amortization,2025,11,28603.0
Nação Digital,Depreciation and amortization,2025,12,28621.0
Nação Digital,Financial income (expenses) net,2025,7,205.61999999999998
Nação Digital,Financial income (expenses) net,2025,8,103422.05
Nação Digital,Financial income (expenses) net,2025,9,16279.480000000001
Nação Digital,Financial income (expenses) net,2025,10,689.9399999999998
Nação Digital,Financial income (expenses) net,2025,11,-1159.3700000000001
Nação Digital,Financial income (expenses) net,2025,12,5248.889999999999
Nação Digital,General and administrative expenses,2025,7,109913.99
Nação Digital,General and administrative expenses,2025,8,202354.03
Nação Digital,General and administrative expenses,2025,9,83539.96
Nação Digital,General and administrative expenses,2025,10,95174.02
Nação Digital,General and administrative expenses,2025,11,166380.23
Nação Digital,General and administrative expenses,2025,12,101051.13
Nação Digital,Income Taxes,2025,7,102984.43000000001
Nação Digital,Income Taxes,2025,8,56804.42
Nação Digital,Income Taxes,2025,9,183173.71000000002
Nação Digital,Income Taxes,2025,10,102311.7
Nação Digital,Income Taxes,2025,11,101095.03
Nação Digital,Income Taxes,2025,12,121805.20999999999
Nação Digital,Licenses and infrastructure costs,2025,8,54619.87
Nação Digital,Marketing and selling expenses,2025,7,9575.0
Nação Digital,Marketing and selling expenses,2025,8,222392.26
Nação Digital,Marketing and selling expenses,2025,9,25450.45
Nação Digital,Marketing and selling expenses,2025,10,26140.82
Nação Digital,Marketing and selling expenses,2025,11,7068.87
Nação Digital,Marketing and selling expenses,2025,12,296641.14
Nação Digital,Net Revenue,2025,7,-1056995.89
Nação Digital,Net Revenue,2025,8,-1491928.73
Nação Digital,Net Revenue,2025,9,-1301505.4
Nação Digital,Net Revenue,2025,10,-1038425.77
Nação Digital,Net Revenue,2025,11,-1046134.09
Nação Digital,Net Revenue,2025,12,-1307341.95
Nação Digital,Non-operating income (expenses) net,2025,7,9857.96
Nação Digital,Non-operating income (expenses) net,2025,8,-159541.38
Nação Digital,NÃO CLASSIFICADO,2025,7,-2562.300000000002
Nação Digital,NÃO CLASSIFICADO,2025,8,2577.279999999995
Nação Digital,NÃO CLASSIFICADO,2025,9,-15113.109999999999
Nação Digital,NÃO CLASSIFICADO,2025,10,14428.029999999997
Nação Digital,NÃO CLASSIFICADO,2025,11,668.5399999999972
Nação Digital,NÃO CLASSIFICADO,2025,12,0.13999999999941792
Nação Digital,Occupancy expenses,2025,7,6422.95
Nação Digital,Occupancy expenses,2025,8,38264.43
Nação Digital,Occupancy expenses,2025,9,10817.529999999999
Nação Digital,Occupancy expenses,2025,10,10735.47
Nação Digital,Occupancy expenses,2025,11,10735.470000000001
Nação Digital,Occupancy expenses,2025,12,10735.47
Nação Digital,Other operating income (expenses) net,2025,7,-20686.4
Nação Digital,Other operating income (expenses) net,2025,8,4272.0
Nação Digital,Other operating income (expenses) net,2025,9,900.0
Nação Digital,Other operating income (expenses) net,2025,10,900.0
Nação Digital,Other operating income (expenses) net,2025,11,-3787.56
Nação Digital,Other operating income (expenses) net,2025,12,10521.460000000003
Nação Digital,Payroll costs,2025,7,272719.55
Nação Digital,Payroll costs,2025,8,428267.42
Nação Digital,Payroll costs,2025,9,296955.83
Nação Digital,Payroll costs,2025,10,277404.2
Nação Digital,Payroll costs,2025,11,265352.56
Nação Digital,Payroll costs,2025,12,244171.06
Nação Digital,Payroll expenses,2025,7,146695.27
Nação Digital,Payroll expenses,2025,8,194694.80000000002
Nação Digital,Payroll expenses,2025,9,136178.03
Nação Digital,Payroll expenses,2025,10,151170.9
Nação Digital,Payroll expenses,2025,11,146574.78
Nação Digital,Payroll expenses,2025,12,137457.51
Nação Digital,Tax expenses,2025,7,685.9
Nação Digital,Tax expenses,2025,8,7134.6
Nação Digital,Tax expenses,2025,9,841.36
Nação Digital,Tax expenses,2025,10,685.9
Nação Digital,Tax expenses,2025,11,685.9
Nação Digital,Tax expenses,2025,12,686.04
Nação Digital,Third-party costs,2025,7,42493.98
Nação Digital,Third-party costs,2025,8,117945.71
Nação Digital,Third-party costs,2025,9,29672.82
Nação Digital,Third-party costs,2025,10,36188.01
Nação Digital,Third-party costs,2025,11,56769.28
Nação Digital,Third-party costs,2025,12,58794.46
Nação Digital,Third-party expenses,2025,7,80410.64
Nação Digital,Third-party expenses,2025,8,86950.76000000001
Nação Digital,Third-party expenses,2025,9,84866.42
Nação Digital,Third-party expenses,2025,10,57984.39
Nação Digital,Third-party expenses,2025,11,52699.29
Nação Digital,Third-party expenses,2025,12,56075.83
Nação Digital,Travel expenses,2025,7,6981.72
Nação Digital,Travel expenses,2025,8,14813.529999999999
Nação Digital,Travel expenses,2025,9,967.66
Nação Digital,Travel expenses,2025,10,17553.41
Nação Digital,Travel expenses,2025,11,1930.74
Nação Digital,Travel expenses,2025,12,40600.78
NextGen,Consulting expenses,2025,7,19642.05
NextGen,Consulting expenses,2025,8,18073.91
NextGen,Consulting expenses,2025,9,32978.34
NextGen,Consulting expenses,2025,10,22452.37
NextGen,Consulting expenses,2025,11,53959.28
NextGen,Consulting expenses,2025,12,-529.32
